speaker,total_claims,anomaly_rate,low_truth_rate
lynn-westmoreland,8,0.75,0.25
dianne-feinstein,6,0.6666666666666666,0.3333333333333333
richard-durbin,5,0.6,0.4
sid-miller,7,0.5714285714285714,0.5714285714285714
juan-williams,6,0.5,0.3333333333333333
sam-adams,15,0.4666666666666667,0.3333333333333333
vincent-fort,5,0.4,0.4
charlotte-nash,6,0.3333333333333333,0.16666666666666666
florida-chamber-commerce,6,0.3333333333333333,0.3333333333333333
adam-putnam,7,0.2857142857142857,0.2857142857142857
jay-carney,7,0.2857142857142857,0.5714285714285714
priorities-usa-action,12,0.25,0.4166666666666667
tweets,12,0.25,0.6666666666666666
will-weatherford,12,0.25,0.4166666666666667
andrew-napolitano,8,0.25,0.75
frank-lautenberg,8,0.25,0.25
john-oliver,10,0.2,0.0
brian-robinson,5,0.2,0.4
citizens-lower-taxes-and-stronger-economy,5,0.2,0.4
ed-lindsey,5,0.2,0.0
eric-bolling,5,0.2,0.6
greg-walden,5,0.2,0.6
mark-zaccaria,5,0.2,0.8
mary-nolan,5,0.2,0.0
nicholas-kristof,5,0.2,0.2
sam-olens,5,0.2,0.2
sheila-oliver,5,0.2,0.2
kasim-reed,22,0.18181818181818182,0.13636363636363635
bill-foster,6,0.16666666666666666,0.16666666666666666
debra-medina,6,0.16666666666666666,0.16666666666666666
government-not-god-pac,6,0.16666666666666666,1.0
john-depetro,6,0.16666666666666666,1.0
michael-sullivan,6,0.16666666666666666,0.16666666666666666
rahm-emanuel,6,0.16666666666666666,0.3333333333333333
donna-howard,7,0.14285714285714285,0.14285714285714285
matthew-dowd,7,0.14285714285714285,0.0
richard-saslaw,7,0.14285714285714285,1.0
steve-lonegan,7,0.14285714285714285,0.42857142857142855
mike-dewine,8,0.125,0.25
bill-batchelder,9,0.1111111111111111,0.5555555555555556
lee-leffingwell,9,0.1111111111111111,0.1111111111111111
pat-toomey,9,0.1111111111111111,0.6666666666666666
rob-cornilles,9,0.1111111111111111,0.3333333333333333
tim-ryan,9,0.1111111111111111,0.1111111111111111
chris-abele,20,0.1,0.5
