cluster_id,label,count
0,false,152
0,half-true,152
0,mostly-true,136
0,barely-true,118
0,true,113
0,pants-fire,58
1,false,171
1,true,154
1,mostly-true,149
1,half-true,126
1,barely-true,97
1,pants-fire,74
2,false,614
2,half-true,532
2,mostly-true,514
2,barely-true,504
2,true,432
2,pants-fire,358
3,false,343
3,half-true,315
3,barely-true,292
3,mostly-true,243
3,true,196
3,pants-fire,152
4,mostly-true,308
4,half-true,293
4,false,248
4,barely-true,220
4,true,208
4,pants-fire,75
5,half-true,134
5,mostly-true,115
5,false,111
5,true,107
5,barely-true,78
5,pants-fire,37
6,half-true,881
6,mostly-true,797
6,false,709
6,true,661
6,barely-true,650
6,pants-fire,220
7,half-true,194
7,mostly-true,192
7,true,182
7,false,159
7,barely-true,144
7,pants-fire,73
