cluster_id,label,count
0,mostly-true,220
0,half-true,218
0,true,196
0,false,109
0,barely-true,97
0,pants-fire,32
1,mostly-true,448
1,half-true,391
1,true,384
1,false,376
1,barely-true,279
1,pants-fire,133
2,half-true,928
2,false,921
2,mostly-true,858
2,barely-true,833
2,true,692
2,pants-fire,402
3,mostly-true,221
3,half-true,176
3,true,160
3,false,105
3,barely-true,95
3,pants-fire,29
4,half-true,212
4,false,184
4,mostly-true,180
4,true,180
4,barely-true,154
4,pants-fire,73
5,mostly-true,85
5,half-true,78
5,false,61
5,true,57
5,barely-true,46
5,pants-fire,20
6,false,620
6,half-true,532
6,barely-true,496
6,mostly-true,379
6,true,330
6,pants-fire,304
7,false,131
7,barely-true,103
7,half-true,92
7,mostly-true,63
7,pants-fire,54
7,true,54
