embedding,classifier,setting,variant,accuracy,precision,recall,f1,roc_auc
tfidf,logistic_regression,fixed_split_train_test,text_only,0.6156274664561957,0.5517241379310345,0.6365280289330922,0.5910999160369438,0.6527421095020287
tfidf,logistic_regression,fixed_split_train_test,text_plus_graph,0.6322020520915549,0.5709624796084829,0.6329113924050633,0.6003430531732419,0.6729451274180559
tfidf,logistic_regression,speaker_disjoint_split,text_only,0.5979020979020979,0.5669975186104218,0.6171505739365294,0.5910119624959587,0.6416109559931301
tfidf,logistic_regression,speaker_disjoint_split,text_plus_graph,0.6169739351557534,0.5871212121212122,0.6279540850776503,0.6068515497553018,0.6547063606482918
tfidf,linear_svm,fixed_split_train_test,text_only,0.6124704025256511,0.5479876160990712,0.6401446654611211,0.5904920767306089,0.6531118776624574
tfidf,linear_svm,fixed_split_train_test,text_plus_graph,0.6250986582478295,0.5629032258064516,0.6311030741410488,0.5950554134697357,0.6722967668079891
tfidf,linear_svm,speaker_disjoint_split,text_only,0.6013986013986014,0.5698461538461539,0.62525320729237,0.5962652929813265,0.6393334590498668
tfidf,linear_svm,speaker_disjoint_split,text_plus_graph,0.6112523839796568,0.5798267326732673,0.6326806212018906,0.6051017113335486,0.6511911641553776
tfidf,random_forest,fixed_split_train_test,text_only,0.595895816890292,0.5506172839506173,0.40325497287522605,0.46555323590814196,0.6376069415107815
tfidf,random_forest,fixed_split_train_test,text_plus_graph,0.6385161799526441,0.6368876080691642,0.3996383363471971,0.4911111111111111,0.68346325872121
tfidf,random_forest,speaker_disjoint_split,text_only,0.5969485060394152,0.60790273556231,0.4051316677920324,0.4862236628849271,0.6436345866460653
tfidf,random_forest,speaker_disjoint_split,text_plus_graph,0.598537825810553,0.6144957983193278,0.3950033760972316,0.4808877928483354,0.656732424524457
tfidf,gradient_boosting,fixed_split_train_test,text_only,0.5816890292028414,0.5186991869918699,0.5768535262206148,0.5462328767123288,0.6277498341108596
tfidf,gradient_boosting,fixed_split_train_test,text_plus_graph,0.6140489344909235,0.5547945205479452,0.5858951175406871,0.5699208443271768,0.661540565593326
tfidf,gradient_boosting,speaker_disjoint_split,text_only,0.59631277813096,0.5756272401433692,0.5422012153950033,0.5584144645340751,0.634410237381203
tfidf,gradient_boosting,speaker_disjoint_split,text_plus_graph,0.6137952956134775,0.5941926345609065,0.5665091154625254,0.5800207397165572,0.6494526261575553
minilm,logistic_regression,fixed_split_train_test,text_only,0.6124704025256511,0.5511551155115512,0.6039783001808319,0.5763589301121657,0.6440500250733205
minilm,logistic_regression,fixed_split_train_test,text_plus_graph,0.6211523283346487,0.5607321131447587,0.6094032549728752,0.584055459272097,0.6600108397789495
