embedding,setting,model,accuracy,precision,recall,f1,roc_auc
tfidf,fixed_split_train_test,text_only,0.6156274664561957,0.5517241379310345,0.6365280289330922,0.5910999160369438,0.6527421095020287
tfidf,fixed_split_train_test,text_plus_graph,0.6337805840568271,0.5742904841402338,0.6220614828209765,0.5972222222222222,0.6701743988734734
tfidf,speaker_disjoint_split,text_only,0.5979020979020979,0.5669975186104218,0.6171505739365294,0.5910119624959587,0.6416109559931301
tfidf,speaker_disjoint_split,text_plus_graph,0.6131595677050222,0.583969465648855,0.6198514517218096,0.6013756960366853,0.6533790373763365
minilm,fixed_split_train_test,text_only,0.6124704025256511,0.5511551155115512,0.6039783001808319,0.5763589301121657,0.6440500250733205
minilm,fixed_split_train_test,text_plus_graph,0.6227308602999211,0.5626043405676127,0.6094032549728752,0.5850694444444444,0.656718383555954
minilm,speaker_disjoint_split,text_only,0.6042593769866497,0.5736579275905118,0.6205266711681297,0.5961725591955888,0.6504822851210428
minilm,speaker_disjoint_split,text_plus_graph,0.6134774316592498,0.582451773490977,0.6320054017555705,0.6062176165803109,0.6571051132158493
bert_base,fixed_split_train_test,text_only,0.6290449881610103,0.5668276972624798,0.6365280289330922,0.5996592844974447,0.6752853039950159
bert_base,fixed_split_train_test,text_plus_graph,0.6369376479873717,0.5786802030456852,0.6184448462929476,0.5979020979020979,0.6818676837823736
bert_base,speaker_disjoint_split,text_only,0.6220597584233948,0.5919395465994962,0.6347062795408508,0.6125773867709352,0.6624115675432354
bert_base,speaker_disjoint_split,text_plus_graph,0.6274634456452638,0.5989750160153747,0.6313301823092505,0.6147271531886916,0.6674321181410985
