setting,model_score_col,weight
fixed_split_train_test,score__fusion_model_predictions_fixed_split_bert_base_linear_svm,0.09749822781297318
fixed_split_train_test,score__fusion_model_predictions_fixed_split_tfidf_linear_svm,0.19981622043942787
fixed_split_train_test,score__fusion_model_predictions_fixed_split_minilm_linear_svm,0.19913925451207937
fixed_split_train_test,score__fusion_model_predictions_fixed_split_bert_base_logistic_regression,0.2730402424083345
fixed_split_train_test,score__fusion_model_predictions_fixed_split_tfidf_logistic_regression,0.11447509984776182
fixed_split_train_test,score__fusion_model_predictions_fixed_split_minilm_logistic_regression,0.11603095497942324
speaker_disjoint_split,score__fusion_model_predictions_speaker_disjoint_bert_base_logistic_regression,0.13524946217745545
speaker_disjoint_split,score__fusion_model_predictions_speaker_disjoint_bert_base_linear_svm,0.06994470961243697
speaker_disjoint_split,score__fusion_model_predictions_speaker_disjoint_minilm_logistic_regression,0.26760492025495036
speaker_disjoint_split,score__fusion_model_predictions_speaker_disjoint_tfidf_logistic_regression,0.33387076961732864
speaker_disjoint_split,score__fusion_model_predictions_speaker_disjoint_tfidf_linear_svm,0.015885847536564458
speaker_disjoint_split,score__fusion_model_predictions_speaker_disjoint_minilm_linear_svm,0.17744429080126417
