setting,model,threshold,accuracy,precision,recall,f1,roc_auc
fixed_split_train_test,text_only,0.274566,0.4696132596685083,0.45054031587697424,0.9801084990958409,0.6173120728929385,0.6527421095020287
fixed_split_train_test,text_only,0.320915,0.4940805051302289,0.46113074204946997,0.9439421338155516,0.6195845697329377,0.6527421095020287
fixed_split_train_test,text_only,0.359723,0.5327545382794001,0.4816211121583412,0.9240506329113924,0.6332094175960347,0.6527421095020287
fixed_split_train_test,text_only,0.400869,0.5461720599842147,0.4888888888888889,0.8752260397830018,0.627349319507453,0.6527421095020287
fixed_split_train_test,text_only,0.423958,0.5619573796369376,0.4989106753812636,0.8282097649186256,0.6227056424201224,0.6527421095020287
fixed_split_train_test,text_only,0.445759,0.580110497237569,0.512396694214876,0.7848101265822784,0.62,0.6527421095020287
fixed_split_train_test,text_only,0.465295,0.5887924230465666,0.520618556701031,0.7305605786618445,0.6079759217456734,0.6527421095020287
fixed_split_train_test,text_only,0.480907,0.6101026045777427,0.5418439716312057,0.6907775768535263,0.6073131955484896,0.6527421095020287
fixed_split_train_test,text_only,0.502127,0.6164167324388319,0.5529225908372828,0.6329113924050633,0.5902192242833052,0.6527421095020287
fixed_split_train_test,text_only,0.520568,0.6203630623520127,0.5640569395017794,0.5732368896925859,0.568609865470852,0.6527421095020287
fixed_split_train_test,text_only,0.538978,0.6164167324388319,0.5682281059063137,0.5045207956600362,0.5344827586206896,0.6527421095020287
fixed_split_train_test,text_only,0.553098,0.6124704025256511,0.5738095238095238,0.4358047016274864,0.49537512846865367,0.6527421095020287
fixed_split_train_test,text_only,0.569541,0.6085240726124704,0.5816618911174785,0.3670886075949367,0.4501108647450111,0.6527421095020287
fixed_split_train_test,text_only,0.593872,0.6006314127861089,0.5848375451263538,0.29294755877034356,0.39036144578313253,0.6527421095020287
fixed_split_train_test,text_only,0.614219,0.5966850828729282,0.6019417475728155,0.22423146473779385,0.32674571805006586,0.6527421095020287
fixed_split_train_test,text_only,0.637922,0.595895816890292,0.6518518518518519,0.15913200723327306,0.2558139534883721,0.6527421095020287
fixed_split_train_test,text_only,0.687103,0.585635359116022,0.71875,0.08318264014466546,0.14910858995137763,0.6527421095020287
fixed_split_train_test,text_plus_graph,0.251149,0.4711917916337806,0.4513715710723192,0.9819168173598554,0.6184510250569476,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.296184,0.4972375690607735,0.4628975265017668,0.9475587703435805,0.6219584569732938,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.331152,0.5201262825572218,0.4740810556079171,0.9095840867992767,0.6232961586121437,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.370575,0.5540647198105761,0.49393939393939396,0.8842676311030742,0.6338302009073234,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.398549,0.579321231254933,0.5108932461873639,0.8481012658227848,0.637661454792658,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.425517,0.6022099447513812,0.5289256198347108,0.810126582278481,0.64,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.445806,0.6108918705603789,0.538659793814433,0.755877034358047,0.6290443942814146,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.469128,0.6227308602999211,0.5531914893617021,0.705244122965642,0.6200317965023847,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.491742,0.6290449881610103,0.5655608214849921,0.6473779385171791,0.6037099494097807,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.517567,0.6298342541436464,0.5747330960854092,0.5840867992766727,0.579372197309417,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.539619,0.6306235201262825,0.5865580448065173,0.5207956600361664,0.5517241379310345,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.562937,0.632991318074191,0.6047619047619047,0.4593128390596745,0.5220966084275437,0.6743634162525769
fixed_split_train_test,text_plus_graph,0.588405,0.6274664561957379,0.6160458452722063,0.3887884267631103,0.47671840354767187,0.6743634162525769
