setting,model,threshold,accuracy,precision,recall,f1,roc_auc
fixed_split_train_test,text_only,0.295707,0.4696132596685083,0.45054031587697424,0.9801084990958409,0.6173120728929385,0.6753030326054472
fixed_split_train_test,text_only,0.362698,0.4988161010260458,0.4637809187279152,0.9493670886075949,0.6231454005934718,0.6753030326054472
fixed_split_train_test,text_only,0.408807,0.5232833464877664,0.4759660697455231,0.9132007233273056,0.6257744733581165,0.6753030326054472
fixed_split_train_test,text_only,0.438118,0.5414364640883977,0.4858585858585859,0.8698010849909584,0.6234607906675308,0.6753030326054472
fixed_split_train_test,text_only,0.464119,0.56353591160221,0.5,0.8300180831826401,0.6240652617267165,0.6753030326054472
fixed_split_train_test,text_only,0.492216,0.580110497237569,0.512396694214876,0.7848101265822784,0.62,0.6753030326054472
fixed_split_train_test,text_only,0.515814,0.601420678768745,0.5309278350515464,0.7450271247739603,0.6200150489089541,0.6753030326054472
fixed_split_train_test,text_only,0.541157,0.6101026045777427,0.5418439716312057,0.6907775768535263,0.6073131955484896,0.6753030326054472
fixed_split_train_test,text_only,0.565755,0.6250986582478295,0.5615141955835962,0.64376130198915,0.5998315080033698,0.6753030326054472
fixed_split_train_test,text_only,0.585967,0.6408839779005525,0.5871886120996441,0.596745027124774,0.5919282511210763,0.6753030326054472
fixed_split_train_test,text_only,0.608286,0.6432517758484609,0.6028513238289206,0.5352622061482821,0.5670498084291188,0.6753030326054472
fixed_split_train_test,text_only,0.63229,0.6424625098658248,0.6190476190476191,0.4701627486437613,0.5344295991778006,0.6753030326054472
fixed_split_train_test,text_only,0.656104,0.6464088397790055,0.6504297994269341,0.4104882459312839,0.5033259423503326,0.6753030326054472
fixed_split_train_test,text_only,0.682779,0.6337805840568271,0.6606498194945848,0.3309222423146474,0.44096385542168676,0.6753030326054472
fixed_split_train_test,text_only,0.709185,0.6219415943172849,0.6796116504854369,0.25316455696202533,0.3689064558629776,0.6753030326054472
fixed_split_train_test,text_only,0.749633,0.5974743488555643,0.6592592592592592,0.1609403254972875,0.25872093023255816,0.6753030326054472
fixed_split_train_test,text_only,0.809818,0.579321231254933,0.65625,0.0759493670886076,0.13614262560777957,0.6753030326054472
fixed_split_train_test,text_plus_graph,0.519669,0.47592738752959746,0.4538653366583541,0.9873417721518988,0.621867881548975,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.560518,0.5098658247829518,0.46996466431095407,0.9620253164556962,0.6314540059347181,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.584904,0.5311760063141279,0.4806786050895382,0.9222423146473779,0.6319702602230484,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.607838,0.5572217837411207,0.49595959595959593,0.8878842676311031,0.6364225534672715,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.624048,0.5698500394632992,0.5043572984749455,0.8372513562386981,0.6295037389530931,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.638466,0.5880031570639306,0.5182998819362455,0.7938517179023508,0.6271428571428571,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.650341,0.6077348066298343,0.5360824742268041,0.7522603978300181,0.6260346124905944,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.664896,0.6148382004735596,0.5460992907801419,0.6962025316455697,0.6120826709062003,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.680228,0.6408839779005525,0.5772870662460567,0.6618444846292948,0.6166807076663858,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.693393,0.6424625098658248,0.5889679715302492,0.5985533453887885,0.5937219730941704,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.709152,0.6400947119179163,0.5987780040733197,0.5316455696202531,0.5632183908045977,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.723288,0.6440410418310971,0.6214285714285714,0.4719710669077758,0.5364850976361768,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.741691,0.6464088397790055,0.6504297994269341,0.4104882459312839,0.5033259423503326,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.75721,0.6400947119179163,0.6750902527075813,0.33815551537070526,0.4506024096385542,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.779039,0.6266771902131019,0.6941747572815534,0.2585895117540687,0.37681159420289856,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.804838,0.6053670086819258,0.6962962962962963,0.16998191681735986,0.27325581395348836,0.6864416652737045
fixed_split_train_test,text_plus_graph,0.845863,0.5887924230465666,0.75,0.0867992766726944,0.15559157212317667,0.6864416652737045
speaker_disjoint_split,text_only,0.309003,0.5031786395422759,0.4862784471218206,0.9810938555030385,0.650257328261356,0.662871446733702
speaker_disjoint_split,text_only,0.368557,0.5270184361093452,0.49875489149768765,0.9466576637407157,0.6533084808946877,0.662871446733702
speaker_disjoint_split,text_only,0.406503,0.5445009535918627,0.5091116173120729,0.9054692775151925,0.6517618469015796,0.662871446733702
speaker_disjoint_split,text_only,0.441129,0.5578512396694215,0.5183075671277462,0.8602295746117489,0.6468646864686468,0.662871446733702
speaker_disjoint_split,text_only,0.465785,0.5778766687857597,0.5335379219640508,0.8217420661715057,0.6469962785752259,0.662871446733702
speaker_disjoint_split,text_only,0.492726,0.5979020979020979,0.5513307984790875,0.7832545577312626,0.6471408647140865,0.662871446733702
speaker_disjoint_split,text_only,0.513387,0.6042593769866497,0.5612033195020747,0.7305874409182984,0.6347902610736287,0.662871446733702
speaker_disjoint_split,text_only,0.540842,0.6182453909726637,0.58,0.6853477380148548,0.6282884555865057,0.662871446733702
speaker_disjoint_split,text_only,0.561848,0.621106166560712,0.5918626827717737,0.6286293045239703,0.6096922069417158,0.662871446733702
speaker_disjoint_split,text_only,0.58472,0.6303242212333121,0.6138968481375359,0.5786630654962863,0.5957594716718805,0.662871446733702
speaker_disjoint_split,text_only,0.606788,0.6287349014621741,0.6283839212469237,0.5172180958811614,0.5674074074074074,0.662871446733702
speaker_disjoint_split,text_only,0.626183,0.6176096630642085,0.6333973128598849,0.44564483457123566,0.5231866825208086,0.662871446733702
speaker_disjoint_split,text_only,0.650352,0.6052129688493325,0.638150289017341,0.3727211343686698,0.47058823529411764,0.662871446733702
speaker_disjoint_split,text_only,0.674133,0.5991735537190083,0.6598837209302325,0.3065496286293045,0.4186260949746427,0.662871446733702
speaker_disjoint_split,text_only,0.697545,0.587730451366815,0.6796875,0.2349763673193788,0.34922227797290517,0.662871446733702
speaker_disjoint_split,text_only,0.728241,0.5715193897012079,0.6985074626865672,0.15800135043889263,0.2577092511013216,0.662871446733702
speaker_disjoint_split,text_only,0.777413,0.5514939605848697,0.7215189873417721,0.07697501688048616,0.1391092129347163,0.662871446733702
speaker_disjoint_split,text_plus_graph,0.246051,0.49872854418308965,0.4839357429718876,0.9763673193787981,0.6471246363839785,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.304505,0.5263827082008901,0.4983991462113127,0.9459824442943957,0.6528424976700838,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.345244,0.5438652256834074,0.5087319665907365,0.9047940580688724,0.6512758201701093,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.373381,0.5664335664335665,0.5238095238095238,0.8690074274139096,0.6536312849162011,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.40063,0.5804195804195804,0.5352915387987724,0.824442943956786,0.6491228070175439,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.424805,0.5959949141767323,0.5499049429657795,0.7812288993923024,0.6454672245467225,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.446655,0.6077558804831532,0.5640892579138558,0.7339635381498987,0.6379107981220657,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.468606,0.6214240305149396,0.5828571428571429,0.6887238352464551,0.6313834726090993,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.489528,0.6300063572790846,0.6007628734901462,0.638082376772451,0.618860510805501,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.510102,0.6271455816910363,0.6103151862464183,0.5752869682646861,0.5922836287799792,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.52991,0.6249205340114431,0.623461853978671,0.513166779203241,0.562962962962963,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.552276,0.6214240305149396,0.6391554702495201,0.44969615124915596,0.5279429250891795,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.574747,0.6191989828353465,0.6635838150289017,0.387575962187711,0.48934356351236147,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.598758,0.6029879211697393,0.6686046511627907,0.3106009453072249,0.42415859843245735,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.628537,0.5921805467260013,0.693359375,0.23970290344361916,0.3562468640240843,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.662086,0.575333757151939,0.7164179104477612,0.16205266711681296,0.2643171806167401,0.6691795779574308
speaker_disjoint_split,text_plus_graph,0.713131,0.5502225047679593,0.7088607594936709,0.07562457798784605,0.1366687004270897,0.6691795779574308
