setting,model,threshold,accuracy,precision,recall,f1,roc_auc
fixed_split_train_test,text_only,0.227107,0.4696132596685083,0.45054031587697424,0.9801084990958409,0.6173120728929385,0.6752853039950159
fixed_split_train_test,text_only,0.284774,0.500394632991318,0.46466431095406363,0.9511754068716094,0.6243323442136498,0.6752853039950159
fixed_split_train_test,text_only,0.328144,0.5217048145224941,0.4750235626767201,0.9113924050632911,0.6245353159851301,0.6752853039950159
fixed_split_train_test,text_only,0.358999,0.5414364640883977,0.4858585858585859,0.8698010849909584,0.6234607906675308,0.6752853039950159
fixed_split_train_test,text_only,0.385976,0.5651144435674822,0.5010893246187363,0.8318264014466547,0.6254248810333106,0.6752853039950159
fixed_split_train_test,text_only,0.413932,0.580110497237569,0.512396694214876,0.7848101265822784,0.62,0.6752853039950159
fixed_split_train_test,text_only,0.441478,0.601420678768745,0.5309278350515464,0.7450271247739603,0.6200150489089541,0.6752853039950159
fixed_split_train_test,text_only,0.470144,0.6148382004735596,0.5460992907801419,0.6962025316455697,0.6120826709062003,0.6752853039950159
fixed_split_train_test,text_only,0.495693,0.6235201262825573,0.5599369085173501,0.6419529837251357,0.5981465880370682,0.6752853039950159
fixed_split_train_test,text_only,0.517447,0.6424625098658248,0.5889679715302492,0.5985533453887885,0.5937219730941704,0.6752853039950159
fixed_split_train_test,text_only,0.543488,0.6416732438831886,0.6008146639511202,0.5334538878842676,0.5651340996168582,0.6752853039950159
fixed_split_train_test,text_only,0.567824,0.6408839779005525,0.6166666666666667,0.46835443037974683,0.5323741007194245,0.6752853039950159
fixed_split_train_test,text_only,0.593995,0.6495659037095501,0.6561604584527221,0.4141048824593128,0.5077605321507761,0.6752853039950159
fixed_split_train_test,text_only,0.622426,0.6337805840568271,0.6606498194945848,0.3309222423146474,0.44096385542168676,0.6752853039950159
fixed_split_train_test,text_only,0.649201,0.6219415943172849,0.6796116504854369,0.25316455696202533,0.3689064558629776,0.6752853039950159
fixed_split_train_test,text_only,0.687676,0.5974743488555643,0.6592592592592592,0.1609403254972875,0.25872093023255816,0.6752853039950159
fixed_split_train_test,text_only,0.742672,0.5808997632202052,0.671875,0.07775768535262206,0.1393841166936791,0.6752853039950159
fixed_split_train_test,text_plus_graph,0.213445,0.47592738752959746,0.4538653366583541,0.9873417721518988,0.621867881548975,0.6863175650006837
