setting,model,threshold,accuracy,precision,recall,f1,roc_auc
fixed_split_train_test,text_only,0.26026,0.47434885556432516,0.45303408146300916,0.9855334538878843,0.6207289293849658,0.6401269368506897
fixed_split_train_test,text_only,0.3097,0.4940805051302289,0.46113074204946997,0.9439421338155516,0.6195845697329377,0.6401269368506897
fixed_split_train_test,text_only,0.349131,0.5201262825572218,0.4740810556079171,0.9095840867992767,0.6232961586121437,0.6401269368506897
fixed_split_train_test,text_only,0.37234,0.5398579321231255,0.48484848484848486,0.8679927667269439,0.6221646143875567,0.6401269368506897
fixed_split_train_test,text_only,0.400961,0.5666929755327546,0.5021786492374728,0.833634719710669,0.6267845003399048,0.6401269368506897
fixed_split_train_test,text_only,0.428189,0.5785319652722968,0.5112160566706021,0.783001808318264,0.6185714285714285,0.6401269368506897
fixed_split_train_test,text_only,0.45231,0.579321231254933,0.5128865979381443,0.7197106690777577,0.5989465763732129,0.6401269368506897
fixed_split_train_test,text_only,0.478872,0.5864246250986582,0.5205673758865248,0.6636528028933092,0.5834658187599364,0.6401269368506897
fixed_split_train_test,text_only,0.497864,0.5951065509076559,0.5315457413249212,0.6094032549728752,0.5678180286436394,0.6401269368506897
fixed_split_train_test,text_only,0.515424,0.5998421468034728,0.5409252669039146,0.5497287522603979,0.5452914798206278,0.6401269368506897
fixed_split_train_test,text_only,0.537864,0.6132596685082873,0.5641547861507128,0.5009041591320073,0.5306513409961686,0.6401269368506897
fixed_split_train_test,text_only,0.556605,0.6156274664561957,0.5785714285714286,0.4394213381555154,0.499486125385406,0.6401269368506897
fixed_split_train_test,text_only,0.571465,0.6022099447513812,0.5702005730659025,0.35985533453887886,0.44124168514412415,0.6401269368506897
fixed_split_train_test,text_only,0.593402,0.5943172849250198,0.5703971119133574,0.2857142857142857,0.38072289156626504,0.6401269368506897
fixed_split_train_test,text_only,0.611665,0.590370955011839,0.5825242718446602,0.21699819168173598,0.31620553359683795,0.6401269368506897
fixed_split_train_test,text_only,0.637133,0.5864246250986582,0.6074074074074074,0.14828209764918626,0.23837209302325582,0.6401269368506897
fixed_split_train_test,text_only,0.672003,0.5808997632202052,0.671875,0.07775768535262206,0.1393841166936791,0.6401269368506897
fixed_split_train_test,text_plus_graph,0.27306,0.47434885556432516,0.45303408146300916,0.9855334538878843,0.6207289293849658,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.307485,0.5146014206787688,0.4726148409893993,0.9674502712477396,0.6350148367952523,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.33843,0.5359116022099447,0.48350612629594725,0.9276672694394213,0.6356877323420075,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.36158,0.5619573796369376,0.498989898989899,0.8933092224231465,0.6403110823071938,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.390005,0.5887924230465666,0.5174291938997821,0.8589511754068716,0.6458191706322229,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.415215,0.5974743488555643,0.525383707201889,0.8047016274864376,0.6357142857142857,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.440158,0.6108918705603789,0.538659793814433,0.755877034358047,0.6290443942814146,0.6846130857406254
fixed_split_train_test,text_plus_graph,0.465838,0.6306235201262825,0.5602836879432624,0.7142857142857143,0.6279809220985691,0.6846130857406254
