setting,model,threshold,accuracy,precision,recall,f1,roc_auc
fixed_split_train_test,text_only,0.320498,0.47277032359905286,0.45220282626766417,0.9837251356238698,0.6195899772209568,0.6376069415107815
fixed_split_train_test,text_only,0.350358,0.505130228887135,0.4673144876325088,0.9566003616636528,0.627893175074184,0.6376069415107815
fixed_split_train_test,text_only,0.369015,0.5295974743488555,0.47973609802073514,0.9204339963833634,0.630731102850062,0.6376069415107815
fixed_split_train_test,text_only,0.38391,0.5540647198105761,0.49393939393939396,0.8842676311030742,0.6338302009073234,0.6376069415107815
fixed_split_train_test,text_only,0.401617,0.5603788476716653,0.49782135076252726,0.8264014466546112,0.6213460231135283,0.6376069415107815
fixed_split_train_test,text_only,0.415392,0.5706393054459353,0.5053128689492326,0.7739602169981917,0.6114285714285714,0.6376069415107815
fixed_split_train_test,text_only,0.428985,0.585635359116022,0.5180412371134021,0.7269439421338155,0.6049661399548533,0.6376069415107815
fixed_split_train_test,text_only,0.442518,0.5911602209944752,0.524822695035461,0.6690777576853526,0.5882352941176471,0.6376069415107815
fixed_split_train_test,text_only,0.455626,0.5927387529597474,0.5292259083728278,0.6057866184448463,0.5649241146711635,0.6376069415107815
fixed_split_train_test,text_only,0.466429,0.606156274664562,0.5480427046263345,0.5569620253164557,0.5524663677130045,0.6376069415107815
fixed_split_train_test,text_only,0.481269,0.6022099447513812,0.5498981670061099,0.488245931283906,0.5172413793103449,0.6376069415107815
fixed_split_train_test,text_only,0.497448,0.5966850828729282,0.55,0.4177215189873418,0.4748201438848921,0.6376069415107815
fixed_split_train_test,text_only,0.514846,0.5974743488555643,0.5616045845272206,0.35443037974683544,0.43458980044345896,0.6376069415107815
fixed_split_train_test,text_only,0.532137,0.5880031570639306,0.555956678700361,0.27848101265822783,0.3710843373493976,0.6376069415107815
fixed_split_train_test,text_only,0.552535,0.585635359116022,0.5679611650485437,0.2115732368896926,0.308300395256917,0.6376069415107815
fixed_split_train_test,text_only,0.583656,0.584846093133386,0.6,0.14647377938517178,0.23546511627906977,0.6376069415107815
fixed_split_train_test,text_only,0.628438,0.5761641673243884,0.625,0.07233273056057866,0.12965964343598055,0.6376069415107815
fixed_split_train_test,text_plus_graph,0.310766,0.4696132596685083,0.45054031587697424,0.9801084990958409,0.6173120728929385,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.341887,0.5035516969218626,0.4664310954063604,0.9547920433996383,0.626706231454006,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.362142,0.5343330702446725,0.4825636192271442,0.9258589511754068,0.6344485749690211,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.380773,0.5540647198105761,0.49393939393939396,0.8842676311030742,0.6338302009073234,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.395631,0.574585635359116,0.5076252723311547,0.8426763110307414,0.6335825968728755,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.406577,0.595895816890292,0.5242030696576151,0.8028933092224232,0.6342857142857142,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.420005,0.6108918705603789,0.538659793814433,0.755877034358047,0.6290443942814146,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.431111,0.6306235201262825,0.5602836879432624,0.7142857142857143,0.6279809220985691,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.443558,0.6424625098658248,0.5788643533123028,0.6636528028933092,0.6183656276326874,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.456871,0.6471981057616417,0.594306049822064,0.6039783001808319,0.5991031390134529,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.46954,0.6479873717442778,0.6089613034623218,0.5406871609403255,0.5727969348659003,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.488268,0.6393054459352802,0.6142857142857143,0.4665461121157324,0.5303186022610483,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.504421,0.6337805840568271,0.6275071633237822,0.3960216998191682,0.48558758314855877,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.52442,0.6227308602999211,0.6353790613718412,0.3182640144665461,0.42409638554216866,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.549314,0.6140489344909235,0.6553398058252428,0.244122965641953,0.3557312252964427,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.583514,0.611681136543015,0.725925925925926,0.17721518987341772,0.28488372093023256,0.6848536883107674
fixed_split_train_test,text_plus_graph,0.665467,0.5824782951854776,0.6875,0.07956600361663653,0.1426256077795786,0.6848536883107674
speaker_disjoint_split,text_only,0.318442,0.4961856325492689,0.4825970548862115,0.9736664415935179,0.6453345267397628,0.6436345866460653
speaker_disjoint_split,text_only,0.348827,0.5219326128417038,0.495908929206688,0.9412559081701553,0.6495806150978565,0.6436345866460653
speaker_disjoint_split,text_only,0.365774,0.5406865861411316,0.5068337129840547,0.9014179608372721,0.6488456865127582,0.6436345866460653
speaker_disjoint_split,text_only,0.383395,0.5584869675778766,0.5187144019528072,0.8609047940580689,0.6473724295506473,0.6436345866460653
speaker_disjoint_split,text_only,0.399574,0.5785123966942148,0.5339763261727313,0.8224172856178258,0.6475279106858054,0.6436345866460653
speaker_disjoint_split,text_only,0.4137,0.5890019071837254,0.5446768060836502,0.7738014854827819,0.6393305439330544,0.6436345866460653
speaker_disjoint_split,text_only,0.426151,0.5994914176732359,0.5573430202387131,0.725185685347738,0.6302816901408451,0.6436345866460653
speaker_disjoint_split,text_only,0.440055,0.6074380165289256,0.5702857142857143,0.673869007427414,0.6177653977096874,0.6436345866460653
speaker_disjoint_split,text_only,0.453929,0.6039415130324222,0.5746980292434838,0.6103983794733289,0.5920104780615586,0.6436345866460653
speaker_disjoint_split,text_only,0.467264,0.6029879211697393,0.5830945558739254,0.5496286293045239,0.5658672228015293,0.6436345866460653
speaker_disjoint_split,text_only,0.48069,0.600127145581691,0.5914684167350287,0.48683322079675895,0.534074074074074,0.6436345866460653
speaker_disjoint_split,text_only,0.495677,0.598537825810553,0.6046065259117083,0.42538825118163404,0.4994054696789536,0.6436345866460653
speaker_disjoint_split,text_only,0.509811,0.5937698664971393,0.6173410404624278,0.36056718433490886,0.45524296675191817,0.6436345866460653
speaker_disjoint_split,text_only,0.52605,0.5864589955499047,0.6308139534883721,0.29304523970290347,0.4001844167819272,0.6436345866460653
speaker_disjoint_split,text_only,0.548058,0.5762873490146218,0.64453125,0.22282241728561783,0.33115905669844453,0.6436345866460653
speaker_disjoint_split,text_only,0.576082,0.5626191989828353,0.6567164179104478,0.1485482781904119,0.2422907488986784,0.6436345866460653
speaker_disjoint_split,text_only,0.62295,0.548951048951049,0.6962025316455697,0.07427413909520594,0.1342281879194631,0.6436345866460653
speaker_disjoint_split,text_plus_graph,0.337598,0.4980928162746345,0.48360107095046856,0.9756920999324781,0.6466771089729246,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.361014,0.5263827082008901,0.4983991462113127,0.9459824442943957,0.6528424976700838,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.378808,0.5445009535918627,0.5091116173120729,0.9054692775151925,0.6517618469015796,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.39316,0.5673871582962492,0.5244100895036615,0.8703578663065497,0.6544808326986545,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.407751,0.5867768595041323,0.5396755808855765,0.8311951384199865,0.6544391281233386,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.418718,0.601716465352829,0.5541825095057035,0.787305874409183,0.6504881450488145,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.431725,0.6134774316592498,0.568759730150493,0.7400405131667792,0.6431924882629108,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.444256,0.6163382072472982,0.5782857142857143,0.6833220796758946,0.6264314453729496,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.456006,0.6198347107438017,0.5905912269548633,0.6272788656313302,0.6083824492468893,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.467006,0.6214240305149396,0.6038681948424068,0.5692099932478055,0.5860271115745568,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.479507,0.6191989828353465,0.616078753076292,0.5070898041863605,0.5562962962962963,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.492787,0.608709472345836,0.6199616122840691,0.4361917623227549,0.5120887831946096,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.504282,0.59631277813096,0.6219653179190752,0.3632680621201891,0.45865302642796246,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.517707,0.5845518118245391,0.626453488372093,0.2910195813639433,0.3974181650530198,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.533784,0.573744437380801,0.63671875,0.2201215395003376,0.3271450075263422,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.558612,0.5683407501589319,0.6835820895522388,0.15462525320729237,0.2522026431718062,0.6584823175640191
speaker_disjoint_split,text_plus_graph,0.590942,0.5514939605848697,0.7215189873417721,0.07697501688048616,0.1391092129347163,0.6584823175640191
