support,itemsets,itemset_size
0.3717518119144423,frozenset({'label=barely-true'}),1
0.44316775676153436,frozenset({'label=false'}),1
0.18508043132402333,frozenset({'label=pants-fire'}),1
0.2481880855577161,frozenset({'party=democrat'}),1
0.035000883860703554,frozenset({'party=non-party-role'}),1
0.4986742089446703,frozenset({'party=republican'}),1
0.013434682694007424,frozenset({'party=third-party'}),1
0.2047021389429026,frozenset({'party=unknown'}),1
0.01714689764893053,frozenset({'state=Arizona'}),1
0.012550821990454304,frozenset({'state=California'}),1
0.08997701962170762,frozenset({'state=Florida'}),1
0.03570797242354605,frozenset({'state=Georgia'}),1
0.03447056743857168,frozenset({'state=Illinois'}),1
0.018030758352483647,frozenset({'state=Massachusetts'}),1
0.019975251900300514,frozenset({'state=New Jersey'}),1
0.07194626126922397,frozenset({'state=New York'}),1
0.03570797242354605,frozenset({'state=Ohio'}),1
0.022096517588828,frozenset({'state=Oregon'}),1
0.013788226975428673,frozenset({'state=Other'}),1
0.010429556301926816,frozenset({'state=Pennsylvania'}),1
0.03429379529786106,frozenset({'state=Rhode Island'}),1
0.10040657592363443,frozenset({'state=Texas'}),1
0.2513699840905073,frozenset({'state=Unknown'}),1
0.04118790878557539,frozenset({'state=Virginia'}),1
0.08007777974191267,frozenset({'state=Wisconsin'}),1
0.02598550468446173,frozenset({'subject=abortion'}),1
0.018737846915326144,frozenset({'subject=campaign-finance'}),1
0.07053208414353898,frozenset({'subject=candidates-biography'}),1
0.017500441930351777,frozenset({'subject=children'}),1
0.01184373342761181,frozenset({'subject=city-government'}),1
0.015732720523245536,frozenset({'subject=climate-change'}),1
0.0176772140710624,frozenset({'subject=congress'}),1
0.012550821990454304,frozenset({'subject=corporations'}),1
0.020505568322432385,frozenset({'subject=corrections-and-updates'}),1
0.04012727594131165,frozenset({'subject=crime'}),1
0.020505568322432385,frozenset({'subject=criminal-justice'}),1
0.018030758352483647,frozenset({'subject=deficit'}),1
0.09386600671734134,frozenset({'subject=economy'}),1
0.062047021389429025,frozenset({'subject=education'}),1
0.05904189499734842,frozenset({'subject=elections'}),1
0.04030404808202227,frozenset({'subject=energy'}),1
0.03553120028283543,frozenset({'subject=environment'}),1
0.0176772140710624,frozenset({'subject=ethics'}),1
0.010076012020505568,frozenset({'subject=families'}),1
0.06805727417359024,frozenset({'subject=federal-budget'}),1
0.010252784161216192,frozenset({'subject=financial-regulation'}),1
0.05161746508750221,frozenset({'subject=foreign-policy'}),1
0.012550821990454304,frozenset({'subject=gays-and-lesbians'}),1
0.014848859819692417,frozenset({'subject=government-efficiency'}),1
0.01714689764893053,frozenset({'subject=government-regulation'}),1
0.027753226091567967,frozenset({'subject=guns'}),1
0.13576100406575925,frozenset({'subject=health-care'}),1
0.042955630192681636,frozenset({'subject=history'}),1
0.05639031288668906,frozenset({'subject=immigration'}),1
0.0132579105532968,frozenset({'subject=income'}),1
0.010959872724058689,frozenset({'subject=iraq'}),1
0.027753226091567967,frozenset({'subject=job-accomplishments'}),1
0.06346119851511402,frozenset({'subject=jobs'}),1
0.022803606151670496,frozenset({'subject=labor'}),1
0.035000883860703554,frozenset({'subject=legal-issues'}),1
0.013434682694007424,frozenset({'subject=market-regulation'}),1
0.024924871840197985,frozenset({'subject=medicare'}),1
0.02156620116669613,frozenset({'subject=message-machine'}),1
0.028813858935831712,frozenset({'subject=message-machine-2012'}),1
0.02863708679512109,frozenset({'subject=military'}),1
0.012904366271875552,frozenset({'subject=polls'}),1
0.01414177125684992,frozenset({'subject=poverty'}),1
0.022450061870249248,frozenset({'subject=public-health'}),1
0.011136644864769313,frozenset({'subject=public-safety'}),1
0.022450061870249248,frozenset({'subject=pundits'}),1
0.020505568322432385,frozenset({'subject=religion'}),1
0.015379176241824288,frozenset({'subject=social-security'}),1
0.06593600848506276,frozenset({'subject=state-budget'}),1
0.02174297330740675,frozenset({'subject=state-finances'}),1
0.018030758352483647,frozenset({'subject=states'}),1
0.02121265688527488,frozenset({'subject=stimulus'}),1
0.09492663956160509,frozenset({'subject=taxes'}),1
0.03358670673501856,frozenset({'subject=terrorism'}),1
0.0265158211065936,frozenset({'subject=transportation'}),1
0.02156620116669613,frozenset({'subject=voting-record'}),1
0.01944493547816864,frozenset({'subject=women'}),1
0.023157150433091744,frozenset({'subject=workers'}),1
