id_a,id_b,approx_jaccard
2517.json,4435.json,1.0
5894.json,7761.json,1.0
11151.json,8905.json,1.0
8918.json,8919.json,1.0
10477.json,10586.json,1.0
11898.json,12055.json,1.0
1093.json,2519.json,1.0
1211.json,2519.json,1.0
11404.json,12942.json,1.0
8589.json,8591.json,1.0
1093.json,1211.json,1.0
11798.json,3062.json,1.0
4913.json,4991.json,1.0
11798.json,5212.json,1.0
11455.json,11527.json,1.0
2855.json,3263.json,1.0
192.json,209.json,1.0
8591.json,8592.json,1.0
8589.json,8592.json,1.0
601.json,609.json,1.0
12073.json,12079.json,1.0
2277.json,2465.json,1.0
12032.json,12349.json,1.0
3062.json,5212.json,1.0
6917.json,6918.json,1.0
6370.json,6622.json,1.0
5822.json,8311.json,1.0
5919.json,8882.json,1.0
4297.json,5919.json,1.0
4720.json,4850.json,1.0
10917.json,10987.json,1.0
662.json,828.json,1.0
5894.json,5914.json,1.0
5914.json,7761.json,1.0
4297.json,8882.json,1.0
10954.json,7228.json,1.0
630.json,995.json,1.0
7756.json,7763.json,1.0
4668.json,4669.json,1.0
6842.json,6998.json,0.96875
5124.json,5359.json,0.9375
4720.json,5608.json,0.921875
4850.json,5608.json,0.921875
1477.json,6679.json,0.890625
5849.json,9867.json,0.8828125
5849.json,7687.json,0.875
7687.json,9867.json,0.859375
3761.json,4471.json,0.859375
3012.json,3707.json,0.8515625
6599.json,6936.json,0.8515625
5095.json,6053.json,0.84375
2806.json,4435.json,0.84375
2517.json,2806.json,0.84375
11797.json,12474.json,0.8359375
10204.json,12652.json,0.828125
5849.json,6841.json,0.8203125
6566.json,7077.json,0.8203125
10755.json,9228.json,0.8203125
11798.json,5262.json,0.8125
3062.json,5262.json,0.8125
5212.json,5262.json,0.8125
2685.json,3761.json,0.8046875
4720.json,4744.json,0.8046875
4744.json,4850.json,0.8046875
6085.json,6718.json,0.8046875
6638.json,8845.json,0.7890625
1969.json,2220.json,0.7578125
2792.json,5921.json,0.7421875
11817.json,2271.json,0.7421875
4744.json,5608.json,0.734375
1846.json,2092.json,0.734375
6172.json,6309.json,0.71875
13494.json,13497.json,0.7109375
11007.json,11576.json,0.6875
641.json,747.json,0.6875
4366.json,4384.json,0.5546875
