antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'subject=criminal-justice'}),frozenset({'subject=crime'}),0.02431397076069111,0.04323352357126104,0.014463294503948088,0.5948553054662379,13.759121541082548,1.0,0.013412115875954797,2.3615426521376013,0.9504296604296605,0.272459499263623,0.5765479826947744,0.4646970921544571
frozenset({'subject=crime'}),frozenset({'subject=criminal-justice'}),0.04323352357126104,0.02431397076069111,0.014463294503948088,0.3345388788426763,13.759121541082548,1.0,0.013412115875954797,1.466180364590592,0.9692239060436478,0.272459499263623,0.31795567301896416,0.4646970921544571
frozenset({'subject=state-finances'}),frozenset({'subject=state-budget'}),0.024548510671565944,0.06872019388632632,0.017825033226487375,0.7261146496815287,10.56624855981392,1.0,0.016138054813516812,3.4002541758103906,0.9281435736491987,0.23626943005181347,0.7059043388244152,0.4927501576052695
frozenset({'subject=state-budget'}),frozenset({'subject=state-finances'}),0.06872019388632632,0.024548510671565944,0.017825033226487375,0.25938566552901027,10.566248559813918,1.0,0.016138054813516812,1.3170842690010656,0.9721665017143262,0.23626943005181347,0.24074713855747137,0.4927501576052695
frozenset({'subject=environment'}),frozenset({'subject=energy'}),0.03408646704714252,0.03744820576968181,0.013134235008990696,0.3853211009174312,10.289440922410986,1.0,0.011857757977047825,1.5659424712105177,0.9346726792700083,0.22489959839357432,0.3614069364713176,0.3680258949263565
frozenset({'subject=energy'}),frozenset({'subject=environment'}),0.03744820576968181,0.03408646704714252,0.013134235008990696,0.3507306889352818,10.289440922410986,1.0,0.011857757977047825,1.4876931906251405,0.9379370494136575,0.22489959839357432,0.3278183927293557,0.3680258949263565
frozenset({'subject=deficit'}),frozenset({'subject=federal-budget'}),0.020874052067860215,0.07325463216323978,0.013603314830740364,0.6516853932584269,8.896166344897052,1.0,0.012074193824752949,2.6606560560474724,0.9065146642584169,0.16893203883495148,0.6241528484198193,0.41869221637307685
frozenset({'subject=terrorism'}),frozenset({'subject=foreign-policy'}),0.028301149245563286,0.04722070205613322,0.010163396137909468,0.35911602209944754,7.605054699791446,1.0,0.008826996001538565,1.48666424937793,0.8938041924283777,0.15550239234449761,0.3273531663800799,0.2871739050894589
frozenset({'subject=foreign-policy'}),frozenset({'subject=terrorism'}),0.04722070205613322,0.028301149245563286,0.010163396137909468,0.21523178807947022,7.605054699791446,1.0,0.008826996001538565,1.2381985355605059,0.9115526633045301,0.15550239234449761,0.19237507452928662,0.2871739050894589
"frozenset({'label=half-true', 'subject=economy'})",frozenset({'subject=jobs'}),0.026893909780314283,0.07028379329215854,0.010163396137909468,0.3779069767441861,5.376872235300206,1.0,0.008273190142091899,1.494497079941577,0.8365154408538357,0.11680143755615456,0.3308785855646556,0.26125604677031333
frozenset({'subject=medicare'}),frozenset({'subject=health-care'}),0.019154092721444766,0.1114846376358377,0.011023375811117191,0.5755102040816326,5.162237742221713,1.0,0.008887988724823685,2.0931371517232664,0.8220308131324952,0.09215686274509803,0.5222482200095171,0.33719409222314445
"frozenset({'party=republican', 'subject=economy'})",frozenset({'subject=jobs'}),0.051286060511297006,0.07028379329215854,0.01821593307794543,0.35518292682926833,5.053553745353917,1.0,0.014611354202200298,1.441829389126109,0.845480829933633,0.1762481089258699,0.3064366647387463,0.30717989500529047
frozenset({'subject=jobs'}),"frozenset({'party=republican', 'subject=economy'})",0.07028379329215854,0.051286060511297006,0.01821593307794543,0.2591768631813126,5.053553745353917,1.0,0.014611354202200298,1.2806213687692853,0.862757305015526,0.1762481089258699,0.21912906938213184,0.30717989500529047
"frozenset({'state=Unknown', 'subject=pundits'})",frozenset({'party=unknown'}),0.012977875068407474,0.18215933077945431,0.011805175514033305,0.9096385542168675,4.993642380681524,1.0,0.009441134476632834,9.05077007270737,0.8102608353550588,0.06439232409381664,0.88951216394111,0.4872227105848286
"frozenset({'party=republican', 'subject=jobs'})",frozenset({'subject=economy'}),0.03314830740364318,0.11195371745758737,0.01821593307794543,0.5495283018867926,4.908531082006958,1.0,0.01450485683668071,1.9713697581046234,0.823573118409057,0.14356130622304375,0.49273849013416354,0.35611889954674825
"frozenset({'label=half-true', 'subject=jobs'})",frozenset({'subject=economy'}),0.01860683292940349,0.11195371745758737,0.010163396137909468,0.5462184873949579,4.878966949908454,1.0,0.008080292021350497,1.9569908818990203,0.810112201190031,0.08441558441558442,0.4890114158173172,0.31850030514999295
frozenset({'subject=pundits'}),"frozenset({'state=Unknown', 'party=unknown'})",0.02056133218669377,0.12196075365491361,0.011805175514033305,0.5741444866920152,4.707616749536902,1.0,0.0092974999443951,2.061824301685337,0.8041119019224751,0.090311004784689,0.5149926212516754,0.3354696792434435
frozenset({'subject=jobs'}),frozenset({'subject=economy'}),0.07028379329215854,0.11195371745758737,0.03627550621530764,0.5161290322580646,4.6102000360425315,1.0,0.02840697427922985,1.8352956505876532,0.8422889337369661,0.2485270487412962,0.45512866023531157,0.42007568931338984
frozenset({'subject=economy'}),frozenset({'subject=jobs'}),0.11195371745758737,0.07028379329215854,0.03627550621530764,0.3240223463687151,4.610200036042531,1.0,0.02840697427922985,1.3753652975264763,0.881811779205916,0.2485270487412962,0.2729204366298549,0.42007568931338984
"frozenset({'party=democrat', 'subject=jobs'})",frozenset({'subject=economy'}),0.025643030255648503,0.11195371745758737,0.013212414979282308,0.5152439024390244,4.602293824090475,1.0,0.010341582415285072,1.8319445325403232,0.8033165151095765,0.10622250157133878,0.45413194436988824,0.3166303311077804
"frozenset({'party=democrat', 'subject=economy'})",frozenset({'subject=jobs'}),0.04120084434367915,0.07028379329215854,0.013212414979282308,0.32068311195445925,4.562689304793647,1.0,0.010316663351968763,1.3686045836174094,0.8143843336151028,0.1344470962609388,0.2693287659779253,0.25433488189491593
"frozenset({'state=Unknown', 'label=pants-fire'})",frozenset({'party=unknown'}),0.031819247908685795,0.18215933077945431,0.0242357907903995,0.7616707616707616,4.181343653446658,1.0,0.018439617885447745,3.431558271884145,0.7858475035425524,0.1277297074577668,0.7085872012743248,0.4473589859855954
"frozenset({'party=unknown', 'subject=pundits'})",frozenset({'state=Unknown'}),0.013368774919865531,0.21507309827222265,0.011805175514033305,0.8830409356725146,4.105771213444978,1.0,0.00892991167191384,6.711125009772497,0.7666901061071986,0.0544929628293035,0.8509936860744158,0.46896503344876184
frozenset({'subject=public-health'}),frozenset({'subject=health-care'}),0.022124931592525994,0.1114846376358377,0.010007036197326244,0.45229681978798586,4.057032694185223,1.0,0.007540446216015786,1.622257080961664,0.7705630896226415,0.08096141682479442,0.38357488974114623,0.27102919530773767
"frozenset({'party=unknown', 'label=pants-fire'})",frozenset({'state=Unknown'}),0.028301149245563286,0.21507309827222265,0.0242357907903995,0.856353591160221,3.981686217568298,1.0,0.018148974937491628,5.464298815874144,0.7706607076582084,0.11059579022475918,0.8169939028416721,0.4845199435263119
frozenset({'subject=pundits'}),frozenset({'party=unknown'}),0.02056133218669377,0.18215933077945431,0.013368774919865531,0.6501901140684411,3.56934839014997,1.0,0.00962333640880334,2.3379575652717772,0.7349483356112717,0.07060280759702725,0.572276240230325,0.3617903360041776
frozenset({'subject=workers'}),frozenset({'subject=economy'}),0.027441169572355564,0.11195371745758737,0.010867015870533969,0.39601139601139596,3.537277769819669,1.0,0.00779487492552473,1.4703030432659758,0.7375355664021837,0.08454987834549876,0.3198681016270592,0.24653921755877062
"frozenset({'subject=health-care', 'party=unknown'})",frozenset({'state=Unknown'}),0.02001407239465249,0.21507309827222265,0.015010554295989367,0.75,3.487186477644493,1.0,0.010706065737026895,3.1397076069111094,0.7278021539688871,0.06820603907637655,0.6814990039840637,0.40989640130861504
frozenset({'state=Illinois'}),"frozenset({'party=democrat', 'label=half-true'})",0.054335079352669846,0.07286373231178173,0.013525134860448753,0.24892086330935254,3.41625189119091,1.0,0.009566078183356398,1.234405567132781,0.7479198206257454,0.11898211829436038,0.18989347858925107,0.21727159045295952
frozenset({'state=Illinois'}),"frozenset({'label=mostly-true', 'party=democrat'})",0.054335079352669846,0.07778907044015324,0.014150574622781643,0.260431654676259,3.3479208994613354,1.0,0.009923899307645492,1.2469583580624388,0.7416021734046595,0.11994698475811795,0.19804860079383088,0.22117060120747623
frozenset({'subject=state-budget'}),frozenset({'state=Wisconsin'}),0.06872019388632632,0.07051833320303338,0.016183253850363538,0.23549488054607512,3.3394844978545972,1.0,0.01133722032011052,1.2157952159442467,0.7522471554686054,0.13151207115628974,0.1774930622478633,0.23249245135951208
frozenset({'state=Wisconsin'}),frozenset({'subject=state-budget'}),0.07051833320303338,0.06872019388632632,0.016183253850363538,0.229490022172949,3.3394844978545972,1.0,0.01133722032011052,1.208653791531703,0.753702423748173,0.13151207115628974,0.1726332163880281,0.23249245135951208
