split,subject,count
test,economy,134
test,health-care,128
test,taxes,110
test,federal-budget,95
test,education,94
test,jobs,94
test,state-budget,91
test,elections,84
test,candidates-biography,83
test,foreign-policy,70
test,crime,59
test,environment,52
test,history,50
test,energy,46
test,legal-issues,44
test,immigration,43
test,job-accomplishments,41
test,state-finances,36
test,guns,34
test,message-machine,34
test,workers,34
test,transportation,33
test,message-machine-2012,32
test,military,32
test,abortion,31
test,criminal-justice,30
test,terrorism,30
test,public-health,29
test,states,27
test,stimulus,27
test,deficit,26
test,ethics,26
test,income,26
test,campaign-finance,24
test,government-regulation,23
test,medicare,23
test,poverty,23
test,children,22
test,congress,22
test,pundits,22
test,voting-record,22
test,women,22
test,corrections-and-updates,20
test,labor,20
test,religion,20
test,corporations,19
test,families,19
test,government-efficiency,18
test,iraq,18
test,polls,18
test,trade,18
test,drugs,17
test,climate-change,16
test,public-safety,16
test,social-security,15
test,civil-rights,14
test,diversity,13
test,debt,12
test,financial-regulation,12
test,retirement,12
test,science,12
test,abc-news-week,11
test,agriculture,11
test,china,11
test,gays-and-lesbians,11
test,supreme-court,11
test,unions,11
test,campaign-advertising,10
test,housing,10
test,market-regulation,10
test,small-business,10
test,city-government,9
test,congressional-rules,9
test,florida,9
test,recreation,9
test,sports,9
test,afghanistan,8
test,county-government,8
test,debates,8
test,human-rights,8
test,medicaid,8
test,new-hampshire-2012,8
test,bipartisanship,7
test,marijuana,7
test,marriage,7
test,message-machine-2014,7
test,nuclear,7
test,technology,7
test,transparency,7
test,animals,6
test,bush-administration,6
test,city-budget,6
test,county-budget,6
test,welfare,6
test,baseball,5
test,gambling,5
test,homeland-security,5
test,islam,5
test,patriotism,5
test,pensions,5
test,pop-culture,5
test,redistricting,5
test,water,5
test,wealth,5
test,bankruptcy,4
test,cap-and-trade,4
test,consumer-safety,4
test,food-safety,4
test,oil-spill,4
test,population,4
test,census,3
test,disability,3
test,hunger,3
test,infrastructure,3
test,sexuality,3
test,veterans,3
test,alcohol,2
test,fake-news,2
test,israel,2
test,obama-birth-certificate,2
test,privacy,2
test,space,2
test,tourism,2
test,urban,2
test,weather,2
test,ebola,1
test,gas-prices,1
test,kagan-nomination,1
test,natural-disasters,1
test,nightlife,1
test,occupy-wall-street,1
test,politifacts-top-promises,1
test,public-service,1
test,sotomayor-nomination,1
train,economy,1162
train,health-care,1128
train,taxes,994
train,federal-budget,744
train,education,728
train,jobs,711
train,state-budget,696
train,candidates-biography,653
train,elections,607
train,immigration,532
train,foreign-policy,471
train,crime,446
train,history,405
train,energy,382
train,legal-issues,344
train,environment,336
train,guns,330
train,military,315
train,job-accomplishments,293
train,workers,293
train,terrorism,292
train,transportation,269
train,message-machine-2012,261
train,criminal-justice,259
train,abortion,254
train,state-finances,245
train,states,230
train,public-health,225
train,women,215
train,deficit,214
train,pundits,213
train,labor,206
train,voting-record,198
train,congress,195
train,medicare,195
train,children,194
train,corrections-and-updates,194
train,message-machine,193
train,campaign-finance,184
train,income,179
train,poverty,178
train,government-regulation,174
train,stimulus,171
train,ethics,160
train,government-efficiency,153
train,city-government,140
train,corporations,140
train,religion,140
train,public-safety,139
train,climate-change,134
train,iraq,131
train,social-security,126
train,polls,121
train,debt,119
train,market-regulation,115
train,gays-and-lesbians,113
train,families,110
train,civil-rights,109
train,homeland-security,109
train,trade,97
train,financial-regulation,96
train,abc-news-week,89
train,drugs,88
train,supreme-court,88
train,housing,87
train,bipartisanship,86
train,diversity,86
train,medicaid,86
train,city-budget,82
train,unions,79
train,small-business,77
train,retirement,74
train,veterans,74
train,sports,73
train,nuclear,72
train,science,69
train,technology,68
train,transparency,68
train,agriculture,67
train,marijuana,65
train,campaign-advertising,64
train,debates,64
train,new-hampshire-2012,63
train,human-rights,59
train,wealth,58
train,congressional-rules,57
train,infrastructure,57
train,marriage,57
train,welfare,55
train,oil-spill,54
train,county-budget,53
train,florida,53
train,water,53
train,county-government,51
train,afghanistan,50
train,population,50
train,animals,48
train,israel,44
train,pensions,44
train,sexuality,43
train,china,40
train,message-machine-2014,40
train,census,37
train,pop-culture,36
train,recreation,36
train,weather,36
train,alcohol,35
train,cap-and-trade,35
train,gas-prices,34
train,gambling,33
train,islam,33
train,bush-administration,32
train,consumer-safety,32
train,redistricting,32
train,bankruptcy,30
train,public-service,30
train,tourism,28
train,food-safety,27
train,patriotism,27
train,hunger,25
train,obama-birth-certificate,25
train,privacy,25
train,urban,25
train,disability,21
train,ebola,20
train,florida-amendments,16
train,baseball,15
train,occupy-wall-street,14
train,space,12
train,sotomayor-nomination,11
train,kagan-nomination,10
train,natural-disasters,8
train,10-news-tampa-bay,5
train,fake-news,5
train,lottery,4
train,autism,3
train,colbert-report,3
train,after-the-fact,2
train,death-penalty,2
train,food,2
train,fires,1
train,homeless,1
valid,health-care,170
valid,economy,136
valid,taxes,114
valid,education,104
valid,federal-budget,98
valid,jobs,94
valid,state-budget,92
valid,candidates-biography,69
valid,immigration,67
valid,elections,66
valid,foreign-policy,63
valid,energy,51
valid,crime,48
valid,environment,48
valid,history,43
valid,military,42
valid,guns,40
valid,legal-issues,40
valid,terrorism,40
valid,transportation,37
valid,state-finances,33
valid,job-accomplishments,30
valid,message-machine-2012,30
valid,states,30
valid,public-health,29
valid,abortion,28
valid,message-machine,28
valid,pundits,28
valid,campaign-finance,27
valid,deficit,27
valid,medicare,27
valid,stimulus,26
valid,corrections-and-updates,25
valid,poverty,25
valid,climate-change,24
valid,workers,24
valid,criminal-justice,22
valid,ethics,22
valid,social-security,22
valid,voting-record,22
valid,government-regulation,21
valid,women,21
valid,abc-news-week,19
valid,debt,19
valid,market-regulation,19
valid,children,18
valid,polls,18
valid,bipartisanship,17
valid,homeland-security,17
valid,campaign-advertising,16
valid,families,16
valid,government-efficiency,16
valid,labor,16
valid,medicaid,16
valid,city-government,15
valid,financial-regulation,15
valid,gays-and-lesbians,15
valid,retirement,15
valid,civil-rights,14
valid,congress,14
valid,corporations,14
valid,religion,14
valid,iraq,13
valid,public-safety,13
valid,sports,13
valid,county-government,12
valid,income,12
valid,sexuality,12
valid,supreme-court,12
valid,drugs,10
valid,pensions,10
valid,science,10
valid,trade,10
valid,transparency,10
valid,unions,10
valid,county-budget,9
valid,diversity,9
valid,welfare,9
valid,city-budget,8
valid,debates,8
valid,message-machine-2014,8
valid,veterans,8
valid,housing,7
valid,infrastructure,7
valid,marriage,7
valid,population,7
valid,technology,7
valid,bankruptcy,6
valid,bush-administration,6
valid,oil-spill,6
valid,pop-culture,6
valid,water,6
valid,weather,6
valid,agriculture,5
valid,animals,5
valid,cap-and-trade,5
valid,china,5
valid,human-rights,5
valid,marijuana,5
valid,new-hampshire-2012,5
valid,public-service,5
valid,consumer-safety,4
valid,florida,4
valid,islam,4
valid,israel,4
valid,nuclear,4
valid,obama-birth-certificate,4
valid,occupy-wall-street,4
valid,redistricting,4
valid,small-business,4
valid,wealth,4
valid,alcohol,3
valid,congressional-rules,3
valid,disability,3
valid,ebola,3
valid,fake-news,3
valid,gambling,3
valid,gas-prices,3
valid,natural-disasters,3
valid,patriotism,3
valid,privacy,3
valid,recreation,3
valid,space,3
valid,tourism,3
valid,afghanistan,2
valid,census,2
valid,florida-amendments,2
valid,lottery,2
valid,10-news-tampa-bay,1
valid,baseball,1
valid,food-safety,1
valid,kagan-nomination,1
